../2018-01-22__export__K1024-5_K1024-6_K1024-7_K1024-8_K1024-9_K1025-5_K1025-6_K1025-7_K1025-8_K1025-9_K1026-5_K1026-6_K1026-7_K1026-8_K1026-9_K1067-3_K1067-4_K1067-5_K1067-6_K1067-7_K1068-3_K1068-4_K1068-5_K1068-6_K1068-7_/fastq2/IGH_FR2_output_v1.3.3_automated/index014_014.fastq	Total count	140984
raw count														%total reads
	IGHJ1_01	IGHJ2_01	IGHJ3_01	IGHJ3_02	IGHJ4_01	IGHJ4_02	IGHJ4_03	IGHJ5_01	IGHJ5_02	IGHJ6_01	IGHJ6_02	IGHJ6_03	IGHJ6_04		IGHJ1_01	IGHJ2_01	IGHJ3_01	IGHJ3_02	IGHJ4_01	IGHJ4_02	IGHJ4_03	IGHJ5_01	IGHJ5_02	IGHJ6_01	IGHJ6_02	IGHJ6_03	IGHJ6_04
IGHV2-5_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-5_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-5_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-5_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-5_08	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-5_08	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-5_09	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-5_09	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-5_10	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-5_10	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_08	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_08	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_09	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_09	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_10	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_10	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_11	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_11	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_12	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_12	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-70_13	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-70_13	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2/OR16-5_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2/OR16-5_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-11_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-11_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-11_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-11_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-11_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-11_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-11_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-11_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-13_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-13_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-13_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-13_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-13_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-13_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-13_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-13_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-15_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-15_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-15_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-15_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-15_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-15_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-15_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-15_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-15_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-15_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-15_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-15_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-15_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-15_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-15_08	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-15_08	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-16_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-16_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-16_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-16_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-20_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-20_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-21_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-21_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-21_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-21_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-21_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-21_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-21_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-21_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-23_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-23_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-23_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-23_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-23_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-23_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-23_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-23_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-23_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-23_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-25_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-25_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_06	0	0	0	0	0	0	0	0	0	0	0	0	0
